,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,location,clean_text
26,Fri Jun 18 17:57:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.2364583333333333,0.3375,en,54.0,29.0,laureiropedro1,45,258,,"[{'text': 'Cuban', 'indices': [53, 59]}, {'text': 'COVID19', 'indices': [60, 68]}, {'text': 'vaccines', 'indices': [69, 78]}]","[{'screen_name': 'BioCubaFarma', 'name': 'BioCubaFarma', 'id': 983814956058578945, 'id_str': '983814956058578945', 'indices': [214, 227]}, {'screen_name': 'FinlayInstituto', 'name': 'Instituto Finlay de Vacunas', 'id': 867464592846442496, 'id_str': '867464592846442496', 'indices': [228, 244]}, {'screen_name': 'cda_dc', 'name': 'CDA', 'id': 61804141, 'id_str': '61804141', 'indices': [245, 252]}, {'screen_name': 'WOLA_org', 'name': 'WOLA', 'id': 133048642, 'id_str': '133048642', 'indices': [253, 262]}, {'screen_name': 'aperezriverol', 'name': 'A. Perez-Riverol', 'id': 802608255373639680, 'id_str': '802608255373639680', 'indices': [263, 277]}]",,biocubafarma say phase 3 clinic trial result cuban covid19 vaccin due day soberana02 without booster abdala test 85k volunt havana eastern cuba biocubafarma finlayinstituto cda_dc wola_org aperezriverol httpstcogkrwldjx1m
27,Fri Jun 18 17:57:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.1,0.3,en,68.0,78.0,yuccaldo,1309,2618,,"[{'text': 'COVID19', 'indices': [187, 195]}]",[],"#mRNA/@pfizer 1.shot, 23.04",africa midst full blown third wave the sober trajectori surg case rous everyon urgent action weve seen india elsewher quickli covid19 rebound overwhelm health system
28,Fri Jun 18 17:57:48 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.125,0.325,en,548.0,614.0,Sportsmk,755,646,,[],"[{'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [81, 89]}, {'screen_name': 'jriggers', 'name': 'Jennifer Rigby', 'id': 174663886, 'id_str': '174663886', 'indices': [209, 218]}]",texas,africa midst fullblown third wave coronaviru head whoafro warn case risen across contin 20 death also risen 15 last week jrigger report httpstcocrdhqphfwm
29,Fri Jun 18 17:57:48 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0.20727272727272728,0.5709090909090909,en,6.0,4.0,RGC_BPPA,2689,5003,,"[{'text': 'Covid19', 'indices': [102, 110]}, {'text': 'DeltaVariant', 'indices': [183, 196]}]",[],"Lafayette, Louisiana",it realli someth see new research come damag brain heart covid19 and watch govern reopen everyth let covid deltavari spread wildli throughout countri vaccin great need httpstcoo8vx9tky0q
30,Fri Jun 18 17:57:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.2364583333333333,0.3375,en,855.0,485.0,saanchi_saxena,153,350,,"[{'text': 'COVID19', 'indices': [80, 88]}]","[{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}]",,we die ugandan need world stand we need oxygen ppe covid19 vaccin money pay overstretch health worker world need oxygen failur kill 30 covid patient mulago httpstcoo1k0iugf6z via dailymonitor
31,Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.5083333333333333,0.7833333333333333,en,6.0,4.0,NatxRP,70,305,,"[{'text': 'ERNReCONNET', 'indices': [0, 12]}, {'text': 'SLE', 'indices': [22, 26]}, {'text': 'COVID19', 'indices': [31, 39]}, {'text': 'vaccines', 'indices': [40, 49]}, {'text': 'patientsinvolvement', 'indices': [100, 120]}, {'text': 'bestpractices', 'indices': [121, 135]}, {'text': 'SystemicLupusErythematosus', 'indices': [159, 186]}]",[],"Barcelona, Espanya",ernreconnet meet sle covid19 vaccin that reason ern develop patientsinvolv bestpractic peopl live systemiclupuserythematosu httpstcoijluiiioyn
32,Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.13333333333333333,0.6333333333333333,en,62.0,48.0,yuccaldo,1309,2619,,"[{'text': 'COVID19', 'indices': [107, 115]}, {'text': 'Africa', 'indices': [125, 132]}]","[{'screen_name': 'MoetiTshidi', 'name': 'Dr Matshidiso Moeti', 'id': 2412739760, 'id_str': '2412739760', 'indices': [137, 149]}]","#mRNA/@pfizer 1.shot, 23.04",africa need million dose amp curb third wave in midst third wave covid19 case africa dr moetitshidi call muchneed covid19 vaccin dose critic time httpstcokudpxpqq22
33,Fri Jun 18 17:58:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.06388888888888887,en,102.0,50.0,CaleEuropaEdic,2228,2720,,"[{'text': 'COVID19', 'indices': [86, 94]}, {'text': 'StrongerTogether', 'indices': [257, 274]}]","[{'screen_name': 'EurobarometerEU', 'name': 'Eurobarometer', 'id': 304876789, 'id_str': '304876789', 'indices': [6, 22]}]",,a new eurobarometereu survey show 79 european intend get vaccin covid19 year but peopl age 45 hesit 70 also believ eu play key role ensur access vaccin countri more info strongertogeth
34,Fri Jun 18 17:58:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.25,0.2,en,855.0,486.0,chloekam09,478,441,,"[{'text': 'COVID19', 'indices': [80, 88]}]","[{'screen_name': 'DailyMonitor', 'name': 'Daily Monitor', 'id': 35697740, 'id_str': '35697740', 'indices': [257, 270]}]",,we die ugandan need world stand we need oxygen ppe covid19 vaccin money pay overstretch health worker world need oxygen failur kill 30 covid patient mulago httpstcoo1k0iugf6z via dailymonitor
35,Fri Jun 18 17:58:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.21212121212121207,0.4015151515151516,en,,,runciecwc,6467,2529,,,,Nigeria,nan
36,Fri Jun 18 17:58:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",-0.3,0.4,en,687.0,222.0,Renee98929893,12,152,,"[{'text': 'WeCanDoThis', 'indices': [27, 39]}, {'text': 'COVID19', 'indices': [104, 112]}]",[],,im pleas welcom wecandothi bu atlanta today rememb 3 easi way find covid19 vaccin near search httpstcod2pdwips8o text zip code 438829 call 18002320233 httpstcoammcmmctip
37,Fri Jun 18 17:58:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.09375,0.28125,en,0.0,1.0,corrigan_david,2898,5001,,"[{'text': 'Covid19', 'indices': [47, 55]}]",[],"Los Angeles, CA",the us govern lie us pretend covid19 it peopl still die daili vaccin fantast thing need save live call elect offici httpstcomuzgcgzd2b
38,Fri Jun 18 17:58:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",3.7007434154171876e-17,0.6333333333333334,en,3.0,5.0,guyinthecorner1,249,375,,"[{'text': 'COVID', 'indices': [226, 232]}]",[],South Africa,ibp south africa partner wrote gauteng govern octob last year highlight resid emfuleni inform settlement basic servic combat covid 8 month later problem continu covid inequ share stori
39,Fri Jun 18 17:58:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.125,0.725,en,3.0,5.0,SandyBiback,910,575,,"[{'text': 'protectmb', 'indices': [187, 197]}, {'text': 'VHCDose2', 'indices': [198, 207]}, {'text': 'COVID19MB', 'indices': [208, 218]}, {'text': 'vhcMB', 'indices': [219, 225]}]",[],Canada,mb winnipeg avail mrna vaccin atlant medic centr 1054 mcphillip street 2045051580 call confirm availabilitybook appoint httpstco7oyavc9tk1 protectmb vhcdose2 covid19mb vhcmb
40,Fri Jun 18 17:58:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.02575757575757576,0.3151515151515151,en,7.0,6.0,FortuneThembo,214,855,,[],[],"Johannesburg, South Africa",more 10000 new case south africa latest report posit rate 20 the third wave continu and twothird new case gauteng provinc
41,Fri Jun 18 17:58:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.625,0.4,en,10.0,2.0,JonathanKuo11,19,103,,"[{'text': 'covid19', 'indices': [130, 138]}, {'text': 'vaccines', 'indices': [139, 148]}]",[],,at least one take away seem univers may still find face litig even dont mandat covid19 vaccin
42,Fri Jun 18 17:59:01 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",0.0,0.0,en,,,TamesideCouncil,29688,1104,,,,"Ashton-under-Lyne, England",nan
43,Fri Jun 18 17:59:10 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.0,0.5,en,,,realjacobsumner,974,1329,,,,"Glendale, AZ",nan
44,Fri Jun 18 17:59:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-0.04166666666666666,0.08333333333333333,en,107.0,63.0,HIPhealthy,9396,7492,,"[{'text': 'COVID19', 'indices': [14, 22]}]",[],"Miami, Florida",you get covid19 vaccin vaccin includ flu shingl visit you longer need wait 14 day vaccin side effect vaccin given alon togeth more vaccin time httpstcobv3mn5xdl httpstcorwrrzhkdeg
45,Fri Jun 18 17:59:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.5,0.5,en,64.0,27.0,Morteza22047559,784,601,,,,Canada,nan
46,Fri Jun 18 17:59:22 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.13333333333333333,0.4555555555555556,en,536.0,349.0,williapa81,295,1450,,[],[],,yet anoth amazingli qualifi courag doctor roger hodkinson speak crazi govern polici respons covid i condens 45 minut the hirewir 6 twitter size edit start overview intervent vaccin httpstcowcvq32s9wd
47,Fri Jun 18 17:59:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.4000000000000001,0.7166666666666667,en,8.0,10.0,LallaMina13,142,367,,"[{'text': 'ThisisIsrael', 'indices': [211, 224]}]","[{'screen_name': 'AIPAC', 'name': 'AIPAC', 'id': 15987296, 'id_str': '15987296', 'indices': [0, 6]}]","Earth, Milky way",aipac will aipac tell world israel sold expir vaccin palestinian could disastr palestinian make covid19 crisi far wors lead palestinian death thisisisrael httpstcowtpn9xmsv
48,Fri Jun 18 17:59:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.09375,0.28125,en,160.0,63.0,marissalangeni,1070,666,,"[{'text': 'COVID19', 'indices': [14, 22]}, {'text': 'Rid1TweetsOnCovid', 'indices': [247, 265]}, {'text': 'coronavirus', 'indices': [266, 278]}]",[],JHB,17 june 2021 covid19 south africa daili test posit rate 226 today that posit test everi 45 test process the increas test posit rate 7day averag 187 confirm rapid rise infect rid1tweetsoncovid coronaviru httpstcolkarzlmwgg
49,Fri Jun 18 17:59:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.5,en,31.0,16.0,nitin_na3,57,759,,,,"Maharashtra, India",nan
50,Fri Jun 18 17:59:42 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.4000000000000001,0.7166666666666667,en,6.0,3.0,knitntherapist,984,1382,,"[{'text': 'protectmb', 'indices': [181, 191]}, {'text': 'VHCDose2', 'indices': [216, 225]}, {'text': 'COVID19MB', 'indices': [226, 236]}, {'text': 'vhcMB', 'indices': [237, 243]}]",[],PrinceDuckie by @vanillacherie,mb winnipeg avail mrna vaccin scurfield pharmaci 100 201 scurfield blvd 2043064459 httpstcocdmokvmutw call confirm availabilitybook appoint protectmb httpstco7oyavc9tk1 vhcdose2 covid19mb vhcmb
51,Fri Jun 18 18:00:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.31666666666666665,0.6111111111111109,en,,,vubblePOP,3165,2112,,,,Everywhere,nan
52,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.10909090909090907,0.3818181818181817,en,,,CACCN1,759,259,,,,"London, ON, Canada",nan
53,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.3,0.6,en,2.0,2.0,saravanan_erode,32,476,,"[{'text': 'Karur', 'indices': [60, 66]}, {'text': 'COVID19', 'indices': [67, 75]}, {'text': 'TamilNadu', 'indices': [76, 86]}, {'text': 'KarurDistrict', 'indices': [87, 101]}, {'text': 'KarurCovid', 'indices': [102, 113]}, {'text': 'VaccinationDrive', 'indices': [114, 131]}, {'text': 'CovishieldVaccine', 'indices': [132, 150]}, {'text': 'Covaxin', 'indices': [151, 159]}, {'text': 'TNVaccineDrive', 'indices': [160, 175]}, {'text': 'EmpoweringErode', 'indices': [176, 192]}, {'text': 'Vaccines', 'indices': [193, 202]}]",[],,karur district tomorrow 19062021 vaccin camp karur covid19 tamilnadu karurdistrict karurcovid vaccinationdr covishieldvaccin covaxin tnvaccinedr empoweringerod vaccin httpstcor3dm1gv9ji
54,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.1625,0.2375,en,,,SeattleMedium,880,211,,,,"Seattle, Wa",nan
55,Fri Jun 18 18:00:02 +0000 2021,"<a href=""http://www.falcon.io"" rel=""nofollow"">Falcon Social Media Management </a>",0.13636363636363635,0.4545454545454545,en,,,ophth_advisor,505,161,,,,,nan
56,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.5,en,48.0,17.0,iamtrinidaddy,1318,626,,"[{'text': 'COVID19', 'indices': [74, 82]}]",[],🇹🇹 x 🇺🇸,as june 17th tampt administ 201313 dose whoapprov covid19 vaccin the countri approxim 56 avail stock remain in tobago number lower 15 june 17th 3000 sinopharm dose arriv monday httpstco9nsihqxxpu httpstcocvgwslnmxl
